id,charged_off
57146,0.26043215
20988,0.17989069
10031,0.113780245
33892,0.055004865
35374,0.15122597
54509,0.09413445
27804,0.093628645
17725,0.103402786
49577,0.03827149
55438,0.08150148
21517,0.2925626
45624,0.13520421
14200,0.2684347
21029,0.026727008
35752,0.032295827
48585,0.025423609
39464,0.2352245
22756,0.28127405
21560,0.031516884
43488,0.29183862
38218,0.07441636
18564,0.07953669
34114,0.050149668
36173,0.47610444
42852,0.06531731
46995,0.052588273
36674,0.041124787
27144,0.070003174
17822,0.1809575
11861,0.188973
33312,0.059395675
48008,0.1773402
34765,0.17756726
49172,0.1434669
56838,0.20625427
24169,0.11863848
35650,0.082735114
48147,0.22565089
11614,0.5413946
48056,0.17707238
35409,0.007299388
51379,0.21215859
38143,0.27330562
24679,0.1509739
51451,0.043486994
36640,0.01971418
28535,0.030693877
34436,0.04195312
20923,0.1286822
29851,0.041170906
50234,0.11194272
24823,0.092161685
41103,0.14881398
16946,0.037587773
54791,0.5405626
53627,0.15964581
49481,0.30006403
55919,0.15290277
46390,0.22367689
55939,0.020463267
14163,0.2926871
23691,0.03188801
32915,0.15704866
39358,0.06393388
21380,0.014837384
39149,0.035034858
38419,0.36177498
29413,0.027914591
43495,0.020981487
25592,0.3675675
30935,0.19055766
37372,0.1520919
15078,0.2062833
38067,0.12898132
36939,0.028079355
49816,0.30784988
20462,0.14646977
21135,0.11835935
22566,0.049680255
54585,0.28442845
44573,0.0778213
12587,0.046084415
32262,0.16253762
26578,0.34917343
47292,0.044242907
12199,0.07260888
39890,0.23429829
38688,0.09300767
34620,0.11763671
10413,0.15006207
10449,0.16707486
37895,0.0259004
52124,0.22975704
30877,0.08685486
14079,0.08729089
55102,0.17443705
46726,0.18647665
32822,0.5739109
42783,0.22903478
54630,0.08607804
22081,0.032879043
34797,0.04930231
42564,0.17192008
32214,0.13697067
36425,0.111593924
53927,0.27397636
41148,0.05721457
13557,0.011724107
47917,0.4486692
56087,0.13585237
40835,0.3576562
15095,0.3315807
23257,0.09874952
41863,0.112188525
36983,0.045104228
44548,0.20407079
29481,0.0436019
12218,0.041269697
43586,0.14700162
46051,0.052274745
25355,0.2908504
11276,0.11394453
23440,0.45404193
42261,0.10215919
28272,0.119987056
42505,0.054256704
55182,0.39868495
16451,0.17295513
53124,0.31469697
15088,0.0652486
36084,0.008261887
39315,0.27797878
39733,0.20525424
49374,0.08509625
11003,0.07645373
31731,0.022427328
52380,0.11768218
27912,0.05948672
52025,0.19495991
48101,0.023676936
32891,0.018542664
56881,0.021786856
24898,0.13881107
37867,0.020155646
47363,0.015622222
40046,0.22677542
14360,0.07363264
57097,0.07857825
53884,0.14977162
24529,0.05667243
54543,0.05492801
53954,0.048164256
43567,0.09679381
55028,0.2311436
23456,0.08358594
35932,0.06429788
48127,0.046913743
29155,0.37574276
55598,0.052094344
41086,0.028887939
33345,0.052701756
50574,0.13524847
40438,0.27902445
42811,0.10014784
31816,0.2699063
20039,0.026000202
54807,0.054292534
21057,0.09722305
28820,0.050639212
22086,0.07869234
38065,0.59520125
12848,0.12947647
25886,0.058188353
16620,0.05151093
52164,0.021793647
39627,0.14762023
17471,0.026149716
40332,0.42132503
51984,0.17803517
29046,0.10054385
35993,0.06414269
38346,0.034825005
49547,0.11769132
46882,0.14382748
49155,0.06869362
51837,0.06751333
11841,0.34566078
13766,0.072805695
19040,0.22549057
42678,0.38517565
31571,0.12700246
43038,0.31434914
54998,0.054311007
45937,0.063642904
50736,0.18726882
49575,0.060652897
14056,0.18089919
28255,0.28172716
23652,0.08371933
45773,0.24296764
24090,0.19439226
14317,0.061219968
49584,0.17280625
54418,0.08192565
47141,0.040193457
18548,0.47267076
26493,0.20087191
19442,0.15098974
47283,0.41569108
30224,0.05994146
34525,0.09553295
48336,0.039303694
29986,0.0465986
43144,0.13454044
55745,0.29210478
13094,0.35742202
31460,0.1826793
42165,0.16688466
16425,0.018246785
27519,0.09348113
54169,0.18168484
16285,0.2453505
37026,0.057657108
31118,0.046430007
55994,0.46953493
20044,0.068449266
54277,0.023749022
45389,0.20392053
48819,0.27715033
36088,0.080172926
31764,0.16664346
22865,0.19482344
34519,0.060806558
11186,0.11779445
21260,0.04601506
45193,0.16483933
48219,0.04762719
45615,0.2113149
13417,0.016314512
53114,0.076911665
31006,0.46903718
40200,0.024687177
10594,0.027871443
35969,0.08465447
44371,0.14731759
39240,0.15552397
23218,0.030935852
40069,0.021377033
31656,0.1522169
10389,0.08673979
40531,0.18875723
19582,0.33898717
51487,0.25427213
39347,0.020695586
20482,0.02695802
12420,0.13239683
50554,0.24715956
22115,0.09477747
13746,0.08261323
37546,0.35953975
54028,0.04447863
19610,0.6330493
50939,0.09610849
49592,0.074013196
18338,0.15360476
49512,0.26107195
23488,0.08221628
19603,0.17621215
49099,0.094134204
45540,0.053777546
50897,0.6053695
56313,0.07102453
10382,0.11437616
21079,0.06500246
30779,0.17935343
27024,0.4246568
20245,0.14029804
19223,0.02711094
41091,0.07048482
33099,0.038087294
34682,0.12356062
39971,0.13279538
54561,0.26907137
35908,0.10211907
23732,0.050401505
11534,0.021659303
53004,0.046189874
31451,0.1244491
30998,0.3416459
20894,0.13271546
28703,0.02430543
10141,0.09984785
17699,0.042212777
29761,0.29621476
47263,0.05854591
17987,0.53786457
47868,0.11471865
40851,0.1644705
23844,0.0679821
17315,0.16639103
47430,0.043359537
23657,0.31938422
45680,0.3738309
47896,0.2024772
38541,0.1813391
32812,0.082490906
26123,0.010087081
45862,0.38918248
51382,0.096999936
11041,0.18208674
50228,0.035960313
36379,0.26986855
33042,0.365947
22003,0.018813077
29654,0.032476403
28726,0.11690952
48926,0.08515603
30213,0.07060819
26246,0.07813705
54015,0.31617552
17354,0.3755709
42440,0.1835672
29971,0.12685041
12716,0.033271916
21678,0.14153777
19087,0.034478266
33898,0.49078298
51442,0.16820651
23075,0.09178328
21005,0.2500028
12175,0.27165854
11369,0.06427856
34935,0.02586387
10561,0.24932164
45005,0.05931036
33504,0.17091455
55556,0.20938492
56217,0.3691419
31034,0.2543136
19122,0.24998134
29690,0.06075822
51057,0.15783949
56121,0.085767105
54643,0.06918426
35292,0.07531574
18672,0.2362222
46368,0.30980602
40611,0.22688916
51655,0.040146366
25846,0.0489224
28315,0.19980688
56154,0.15755503
50460,0.20597173
53631,0.23300844
44370,0.123067446
43946,0.12552966
34510,0.2789945
12845,0.047580943
45047,0.12294991
51269,0.06396612
47285,0.021573614
24834,0.5016847
46302,0.059691567
21364,0.027762763
31434,0.25154263
52162,0.19219153
36803,0.08705886
39824,0.03758869
47464,0.057126403
32677,0.3549859
54668,0.12588698
32842,0.056174085
36166,0.20139228
11444,0.037703354
48985,0.15831235
27180,0.16789289
33733,0.20436588
36030,0.018349897
20693,0.12889041
13437,0.07827006
37661,0.37837952
21217,0.062048443
38249,0.1802951
36566,0.18258601
50034,0.026598644
26495,0.11651375
56652,0.08728569
23723,0.10724243
18918,0.024697179
24604,0.03339616
49021,0.06109025
24985,0.13203858
42586,0.06147255
30773,0.026452472
34664,0.040611085
52342,0.3615962
38428,0.1292158
55828,0.15049557
12696,0.00926413
29776,0.03679684
32447,0.15816665
46973,0.13347971
32217,0.2118551
33455,0.48907635
24146,0.040935397
48764,0.03073171
11829,0.21946456
19515,0.11235871
12488,0.5362001
43571,0.18670698
14620,0.4436085
30173,0.07492738
20430,0.35595742
18764,0.053841166
28412,0.035975754
16843,0.024990821
54148,0.36836714
31989,0.3024411
29306,0.1203934
41134,0.17698435
24763,0.23084606
27543,0.032092065
53853,0.0964411
31175,0.31140557
49221,0.46965924
21782,0.015978318
26556,0.04417843
55616,0.118030936
37064,0.29802698
53402,0.12117721
42625,0.02187592
39321,0.060108628
19923,0.03153418
21745,0.2455509
36744,0.026322031
42639,0.029272327
19744,0.12140886
45200,0.051640537
48796,0.1653941
48344,0.247481
37911,0.33453014
29161,0.042574707
52855,0.094533384
34633,0.14852914
39310,0.023458468
13117,0.03228013
41931,0.06134791
36465,0.07155612
37125,0.16681007
49550,0.28621808
52177,0.05255488
17547,0.06319097
31615,0.18130395
25824,0.08947447
31745,0.7041723
32761,0.15389629
